,drought,sst2,sst41,sst72,drought1,drought12
242,21,-16.684427935814107,-1.9746629539545038,-5.270081775592256,20.0,37.0
243,25,-25.877283508060618,5.599362286174447,-5.74910514729358,21.0,54.0
244,37,-27.461654535391332,9.409522929169102,-1.7997887777047197,25.0,37.0
245,60,-23.63803711627364,-0.5112229548794109,-0.1870668546313689,37.0,35.0
246,67,-32.73406438239098,-4.530870189047381,-0.08779967316464371,60.0,13.0
247,76,-29.366236218215743,-1.9373525999274286,-0.39294614569354347,67.0,11.0
248,103,-28.070206603776303,-2.67749058372675,0.0017137801615876302,76.0,12.0
249,110,-34.72852355161879,-3.1943668716511056,-1.132610090391284,103.0,16.0
250,34,-28.004330222098492,-0.23382017682877698,-1.2945668749851433,110.0,18.0
251,18,-28.55702363865859,-0.9269061187555955,8.800347802334276,34.0,21.0
252,10,-21.538425852798007,-4.597948236326272,-7.165865234480995,18.0,16.0
253,9,-25.747562901450394,-7.947783062642637,0.27185335502043895,10.0,19.0
254,5,-9.172895311480922,-3.310032300978258,-3.820215900047555,9.0,20.0
255,2,-0.49717101487677284,-5.938625707423324,-1.7361774555837446,5.0,21.0
256,4,12.899541986689732,1.8727630370232387,1.5896039772833153,2.0,25.0
257,2,29.50170383820421,1.6895287367017644,-2.3028853022383386,4.0,37.0
258,1,33.93077961861871,3.0625061747224946,2.719519408027504,2.0,60.0
259,3,42.864191476999245,8.053539340066195,2.54403075720711,1.0,67.0
260,0,52.2112865281213,2.300630369302362,3.3145298188864056,3.0,76.0
261,0,49.25392910518147,-1.520749905902135,0.7466312342970068,0.0,103.0
262,2,55.358767317688304,-2.922700742551411,6.513778215683927,0.0,110.0
263,17,57.87853627004666,-10.487788757782406,5.427774477036536,2.0,34.0
264,18,76.42953081957728,-3.2985117888451,4.589589925400064,17.0,18.0
265,38,79.64371347773123,-6.320579508941938,-3.003137344952572,18.0,10.0
266,49,71.35774845079379,-8.754297590618203,-0.932391865186995,38.0,9.0
267,26,60.526569156731725,-4.364950153476579,-2.5722991371239936,49.0,5.0
268,34,43.58572585969625,-6.110345353320361,2.60473951766367,26.0,2.0
269,54,24.89404900103557,7.259170524475765,0.6211551142948696,34.0,4.0
270,60,3.7273862077693267,14.87169009298303,-0.4550785046243079,54.0,2.0
271,61,-2.2112046927309583,2.947464539666819,5.00051491981704,60.0,1.0
272,76,-17.83195729736132,-3.087137192981098,0.6001759072798002,61.0,3.0
273,78,-26.619692152713757,-2.433786537042204,1.74423662468921,76.0,0.0
274,67,-31.391921843629422,1.7882805190287805,4.65859833258073,78.0,0.0
275,69,-37.33117108567284,0.357251313679767,2.894469571392412,67.0,2.0
276,63,-45.82252794810643,-0.38700275583920946,-0.40078254332176977,69.0,17.0
277,64,-47.0973988058156,-6.648118548934983,-1.7464221399830546,63.0,18.0
278,64,-36.511389680531096,-6.964690518648832,4.767940347682887,64.0,38.0
279,103,-48.6414584894522,-9.539828378750986,6.125921074552386,64.0,49.0
280,86,-51.25874836907704,-2.9059131122336366,8.779801631310054,103.0,26.0
281,62,-53.83253933695934,-0.7629334519418706,-4.9095481131862435,86.0,34.0
282,62,-49.5175668888059,9.234323906242313,-3.708633028186287,62.0,54.0
283,84,-44.90332898478446,2.669909245051315,2.0823563740820115,62.0,60.0
284,84,-42.2921675618001,5.574154021808912,0.5398450916090207,84.0,61.0
285,79,-50.2097837073394,6.7928055539772645,1.9923097408211754,84.0,76.0
286,74,-46.06410385707098,5.831563304802315,-1.0999657146803004,79.0,78.0
287,51,-40.793551358850536,-1.791372064553411,-7.097085231608557,74.0,67.0
288,39,-39.45682540761335,-4.267824280026468,-2.1769841571003865,51.0,69.0
289,37,-44.764494393050825,-6.3584967947905024,2.196808337233119,39.0,63.0
290,31,-47.00642322480941,-3.030508373834733,-2.8819404066816383,37.0,64.0
291,0,-45.72766897576875,-4.514951382181923,-8.66405485399479,31.0,64.0
292,10,-47.25767953605412,1.6368285531679545,-2.532930130161709,0.0,103.0
293,8,-46.3711840255304,-0.22679451090358937,-0.8774534718047248,10.0,86.0
294,5,-34.09193259927829,1.5055744255704533,-1.1667725243668146,8.0,62.0
295,2,-26.629763252745494,7.2585286465770915,0.2577806659463856,5.0,62.0
296,1,-16.183306024709278,5.864640764605305,-0.7115228777701663,2.0,84.0
